code_creditor,person_age,loan_rate,nominal_loan,default_before,loan_purpose
L014,23,20.25,35000000,N,MEDICAL
L103,26,20.16,24000000,N,EDUCATION
L085,26,20.03,24000000,N,DEBTCONSOLIDATION
L054,26,19.79,20000000,N,HOMEIMPROVEMENT
L109,25,19.74,25000000,N,HOMEIMPROVEMENT
L138,22,19.69,24000000,N,DEBTCONSOLIDATION
L018,21,19.69,18000000,N,MEDICAL
L098,25,18.67,25000000,N,VENTURE
L044,24,18.64,20000000,N,VENTURE
L147,26,18.43,25000000,N,VENTURE
L088,26,18.39,35000000,N,EDUCATION
L089,22,18.39,30000000,N,EDUCATION
L128,22,18.3,25000000,N,PERSONAL
L148,26,18.3,24000000,N,EDUCATION
L059,24,18.3,18000000,N,PERSONAL
L102,23,18.25,35000000,N,DEBTCONSOLIDATION
L032,25,18.25,10000000,N,MEDICAL
L127,25,18.09,3200000,N,VENTURE
L139,26,17.99,30000000,N,MEDICAL
L068,26,17.99,20000000,N,DEBTCONSOLIDATION
L119,23,17.93,25000000,N,VENTURE
L041,24,17.8,24000000,N,PERSONAL
L127,26,17.74,20000000,N,VENTURE
L144,22,17.58,34000000,N,EDUCATION
L105,24,17.58,17200000,N,PERSONAL
L115,25,17.56,24250000,N,PERSONAL
L121,22,17.56,24000000,N,MEDICAL
L132,25,17.56,18250000,N,VENTURE
L101,25,17.51,22000000,N,EDUCATION
L046,25,17.49,25000000,N,PERSONAL
L150,25,17.39,20000000,N,MEDICAL
L096,26,17.19,22000000,N,MEDICAL
L136,25,17.19,18000000,N,MEDICAL
L022,24,17.19,17500000,N,EDUCATION
L113,23,17.04,7750000,N,PERSONAL
L139,25,17.04,18250000,N,VENTURE
L109,24,16.89,21500000,N,MEDICAL
L065,23,16.89,20000000,N,EDUCATION
L011,25,16.82,25000000,N,HOMEIMPROVEMENT
L086,25,16.82,17000000,N,EDUCATION
L144,24,16.77,12000000,N,VENTURE
L076,22,16.77,20000000,N,MEDICAL
L143,23,16.7,4000000,N,HOMEIMPROVEMENT
L009,22,16.69,20000000,N,DEBTCONSOLIDATION
L098,24,16.49,25000000,N,MEDICAL
L113,25,16.49,5000000,N,MEDICAL
L092,24,16.49,20000000,N,VENTURE
L035,25,16.45,18000000,N,HOMEIMPROVEMENT
L104,25,16.45,18000000,N,EDUCATION
L143,23,16.35,25000000,N,DEBTCONSOLIDATION
L023,25,16.35,20000000,N,HOMEIMPROVEMENT
L145,25,16.32,18000000,N,EDUCATION
L035,22,16.32,18000000,N,EDUCATION
L120,21,16.29,1000000,N,VENTURE
L008,25,16.07,25000000,N,EDUCATION
L004,23,16.07,2800000,N,DEBTCONSOLIDATION
L124,23,16.02,25000000,N,DEBTCONSOLIDATION
L048,24,16,20000000,N,VENTURE
L123,23,16,20000000,N,EDUCATION
L119,23,16,20000000,N,MEDICAL
L013,23,16,6000000,N,EDUCATION
L067,26,16,18000000,N,VENTURE
L073,22,15.99,29100000,N,EDUCATION
L057,23,15.95,2500000,N,MEDICAL
L049,26,15.83,24000000,N,DEBTCONSOLIDATION
L069,25,15.7,25000000,N,MEDICAL
L143,24,15.7,24250000,N,MEDICAL
L091,23,15.7,24250000,N,PERSONAL
L007,24,15.7,8500000,N,EDUCATION
L019,22,15.68,20000000,N,EDUCATION
L065,26,15.65,25000000,N,VENTURE
L087,23,15.65,20000000,N,MEDICAL
L143,24,15.62,24000000,N,VENTURE
L038,23,15.62,8000000,N,EDUCATION
L073,21,15.58,7000000,N,EDUCATION
L104,26,15.33,25000000,N,EDUCATION
L025,24,15.33,25000000,N,DEBTCONSOLIDATION
L035,22,15.33,5000000,N,MEDICAL
L072,24,15.33,18500000,N,VENTURE
L150,25,15.33,18000000,N,PERSONAL
L106,26,15.31,18000000,N,HOMEIMPROVEMENT
L049,23,15.28,20000000,N,EDUCATION
L084,25,15.27,15000000,N,VENTURE
L061,25,15.27,20000000,N,PERSONAL
L093,22,15.27,18000000,N,VENTURE
L117,23,15.23,35000000,N,MEDICAL
L036,25,15.21,25000000,N,EDUCATION
L003,23,15.21,25000000,N,VENTURE
L131,26,15.05,25000000,N,PERSONAL
L026,21,15.05,4000000,N,DEBTCONSOLIDATION
L135,22,15.05,8500000,N,DEBTCONSOLIDATION
L030,21,15.05,4000000,N,VENTURE
L003,25,14.96,25000000,N,VENTURE
L037,26,14.96,24250000,N,MEDICAL
L091,24,14.96,24000000,N,VENTURE
L123,23,14.96,20000000,N,MEDICAL
L025,23,14.93,25000000,N,DEBTCONSOLIDATION
L076,22,14.91,20000000,N,MEDICAL
L054,26,14.91,18225000,N,HOMEIMPROVEMENT
L124,24,14.88,20000000,N,VENTURE
L075,24,14.84,25000000,N,HOMEIMPROVEMENT
L080,22,14.84,24000000,N,EDUCATION
L139,24,14.84,20000000,N,DEBTCONSOLIDATION
L048,24,14.84,2000000,N,DEBTCONSOLIDATION
L141,24,14.82,20000000,N,HOMEIMPROVEMENT
L084,26,14.79,15000000,N,EDUCATION
L047,21,14.74,1600000,N,VENTURE
L048,24,14.74,20000000,N,MEDICAL
L115,22,14.74,1000000,N,HOMEIMPROVEMENT
L094,21,14.74,18000000,N,EDUCATION
L070,21,14.72,6250000,N,VENTURE
L057,22,14.72,5000000,N,VENTURE
L076,21,14.65,16000000,N,EDUCATION
L038,25,14.65,22000000,N,MEDICAL
L111,22,14.65,5000000,N,VENTURE
L116,21,14.61,3500000,N,DEBTCONSOLIDATION
L065,25,14.59,3600000,N,MEDICAL
L136,25,14.59,20000000,N,MEDICAL
L073,24,14.54,23000000,N,VENTURE
L078,23,14.5,23575000,N,PERSONAL
L066,22,14.42,20000000,N,DEBTCONSOLIDATION
L091,25,14.35,23050000,N,PERSONAL
L054,25,14.35,20000000,N,EDUCATION
L008,25,14.27,8800000,N,DEBTCONSOLIDATION
L113,23,14.27,22500000,N,DEBTCONSOLIDATION
L140,25,14.26,18250000,N,DEBTCONSOLIDATION
L036,25,14.22,24750000,N,PERSONAL
L109,23,14.22,17500000,N,VENTURE
L085,22,14.17,20000000,N,EDUCATION
L118,25,14.11,20000000,N,DEBTCONSOLIDATION
L093,23,14.11,20000000,N,VENTURE
L036,24,14.11,20000000,N,HOMEIMPROVEMENT
L007,25,14.09,10000000,N,MEDICAL
L125,26,14.09,21000000,N,DEBTCONSOLIDATION
L002,25,14.09,20000000,N,PERSONAL
L120,23,14.09,20000000,N,EDUCATION
L007,25,13.99,35000000,N,MEDICAL
L081,21,13.99,25000000,N,DEBTCONSOLIDATION
L082,25,13.99,18000000,N,HOMEIMPROVEMENT
L132,23,13.98,4000000,N,DEBTCONSOLIDATION
L010,25,13.98,24250000,N,PERSONAL
L047,22,13.98,20000000,N,DEBTCONSOLIDATION
L085,22,13.98,1000000,N,VENTURE
L120,21,13.98,1000000,N,EDUCATION
L119,24,13.98,3000000,N,EDUCATION
L034,23,13.98,18000000,N,MEDICAL
L113,26,13.92,3000000,N,PERSONAL
L070,23,13.92,24000000,N,PERSONAL
L141,26,13.92,21000000,N,HOMEIMPROVEMENT
L078,25,13.92,20000000,N,EDUCATION
L044,24,13.87,20000000,N,PERSONAL
L066,22,13.87,3975000,N,EDUCATION
L108,25,13.85,24250000,N,DEBTCONSOLIDATION
L124,24,13.85,24500000,N,MEDICAL
L007,24,13.85,7400000,N,MEDICAL
L116,26,13.85,20000000,N,MEDICAL
L057,22,13.85,20000000,N,DEBTCONSOLIDATION
L056,26,13.85,18000000,N,HOMEIMPROVEMENT
L108,22,13.85,17500000,N,MEDICAL
L150,23,13.85,17500000,N,DEBTCONSOLIDATION
L013,24,13.79,24000000,N,HOMEIMPROVEMENT
L011,22,13.79,18000000,N,VENTURE
L009,24,13.79,17000000,N,PERSONAL
L111,22,13.72,20000000,N,DEBTCONSOLIDATION
L082,22,13.72,18000000,N,DEBTCONSOLIDATION
L098,25,13.61,1750000,N,PERSONAL
L027,26,13.61,25000000,N,DEBTCONSOLIDATION
L084,25,13.61,18500000,N,DEBTCONSOLIDATION
L030,23,13.61,17500000,N,MEDICAL
L139,19,13.57,4800000,N,VENTURE
L041,24,13.57,1600000,N,MEDICAL
L041,23,13.57,20000000,N,DEBTCONSOLIDATION
L074,22,13.57,1000000,N,PERSONAL
L009,26,13.49,7800000,N,MEDICAL
