code_creditor,loan_purpose,rata_rata_income,Status_Pendapatan
L132,DEBTCONSOLIDATION,12588905,Tinggi
L061,DEBTCONSOLIDATION,12588905,Tinggi
L012,DEBTCONSOLIDATION,12588905,Tinggi
L130,DEBTCONSOLIDATION,12588905,Tinggi
L070,DEBTCONSOLIDATION,12588905,Tinggi
L150,DEBTCONSOLIDATION,12588905,Tinggi
L140,DEBTCONSOLIDATION,12588905,Tinggi
L049,DEBTCONSOLIDATION,12588905,Tinggi
L106,DEBTCONSOLIDATION,12588905,Tinggi
L018,DEBTCONSOLIDATION,12588905,Tinggi
L113,DEBTCONSOLIDATION,12588905,Tinggi
L078,DEBTCONSOLIDATION,12588905,Tinggi
L047,DEBTCONSOLIDATION,12588905,Tinggi
L086,DEBTCONSOLIDATION,12588905,Tinggi
L150,DEBTCONSOLIDATION,12588905,Tinggi
L043,DEBTCONSOLIDATION,12588905,Tinggi
L026,DEBTCONSOLIDATION,12588905,Tinggi
L091,DEBTCONSOLIDATION,12588905,Tinggi
L102,DEBTCONSOLIDATION,12588905,Tinggi
L004,DEBTCONSOLIDATION,12588905,Tinggi
L015,DEBTCONSOLIDATION,12588905,Tinggi
L138,DEBTCONSOLIDATION,12588905,Tinggi
L047,DEBTCONSOLIDATION,12588905,Tinggi
L090,DEBTCONSOLIDATION,12588905,Tinggi
L130,DEBTCONSOLIDATION,12588905,Tinggi
L002,DEBTCONSOLIDATION,12588905,Tinggi
L134,DEBTCONSOLIDATION,12588905,Tinggi
L064,DEBTCONSOLIDATION,12588905,Tinggi
L085,DEBTCONSOLIDATION,12588905,Tinggi
L145,DEBTCONSOLIDATION,12588905,Tinggi
L042,DEBTCONSOLIDATION,12588905,Tinggi
L066,DEBTCONSOLIDATION,12588905,Tinggi
L091,DEBTCONSOLIDATION,12588905,Tinggi
L108,DEBTCONSOLIDATION,12588905,Tinggi
L104,DEBTCONSOLIDATION,12588905,Tinggi
L148,DEBTCONSOLIDATION,12588905,Tinggi
L010,DEBTCONSOLIDATION,12588905,Tinggi
L074,DEBTCONSOLIDATION,12588905,Tinggi
L055,DEBTCONSOLIDATION,12588905,Tinggi
L094,DEBTCONSOLIDATION,12588905,Tinggi
L139,DEBTCONSOLIDATION,12588905,Tinggi
L022,DEBTCONSOLIDATION,12588905,Tinggi
L083,DEBTCONSOLIDATION,12588905,Tinggi
L116,DEBTCONSOLIDATION,12588905,Tinggi
L081,DEBTCONSOLIDATION,12588905,Tinggi
L122,DEBTCONSOLIDATION,12588905,Tinggi
L038,DEBTCONSOLIDATION,12588905,Tinggi
L130,DEBTCONSOLIDATION,12588905,Tinggi
L032,DEBTCONSOLIDATION,12588905,Tinggi
L149,DEBTCONSOLIDATION,12588905,Tinggi
L072,DEBTCONSOLIDATION,12588905,Tinggi
L107,DEBTCONSOLIDATION,12588905,Tinggi
L073,DEBTCONSOLIDATION,12588905,Tinggi
L084,DEBTCONSOLIDATION,12588905,Tinggi
L129,DEBTCONSOLIDATION,12588905,Tinggi
L057,DEBTCONSOLIDATION,12588905,Tinggi
L015,DEBTCONSOLIDATION,12588905,Tinggi
L081,DEBTCONSOLIDATION,12588905,Tinggi
L034,DEBTCONSOLIDATION,12588905,Tinggi
L064,DEBTCONSOLIDATION,12588905,Tinggi
L132,DEBTCONSOLIDATION,12588905,Tinggi
L014,DEBTCONSOLIDATION,12588905,Tinggi
L075,DEBTCONSOLIDATION,12588905,Tinggi
L036,DEBTCONSOLIDATION,12588905,Tinggi
L024,DEBTCONSOLIDATION,12588905,Tinggi
L025,DEBTCONSOLIDATION,12588905,Tinggi
L032,DEBTCONSOLIDATION,12588905,Tinggi
L118,DEBTCONSOLIDATION,12588905,Tinggi
L103,DEBTCONSOLIDATION,12588905,Tinggi
L014,DEBTCONSOLIDATION,12588905,Tinggi
L082,DEBTCONSOLIDATION,12588905,Tinggi
L130,DEBTCONSOLIDATION,12588905,Tinggi
L090,DEBTCONSOLIDATION,12588905,Tinggi
L008,DEBTCONSOLIDATION,12588905,Tinggi
L080,DEBTCONSOLIDATION,12588905,Tinggi
L105,DEBTCONSOLIDATION,12588905,Tinggi
L084,DEBTCONSOLIDATION,12588905,Tinggi
L077,DEBTCONSOLIDATION,12588905,Tinggi
L050,DEBTCONSOLIDATION,12588905,Tinggi
L008,DEBTCONSOLIDATION,12588905,Tinggi
L086,DEBTCONSOLIDATION,12588905,Tinggi
L082,DEBTCONSOLIDATION,12588905,Tinggi
L027,DEBTCONSOLIDATION,12588905,Tinggi
L048,DEBTCONSOLIDATION,12588905,Tinggi
L089,DEBTCONSOLIDATION,12588905,Tinggi
L115,DEBTCONSOLIDATION,12588905,Tinggi
L072,DEBTCONSOLIDATION,12588905,Tinggi
L143,DEBTCONSOLIDATION,12588905,Tinggi
L004,DEBTCONSOLIDATION,12588905,Tinggi
L064,DEBTCONSOLIDATION,12588905,Tinggi
L004,DEBTCONSOLIDATION,12588905,Tinggi
L137,DEBTCONSOLIDATION,12588905,Tinggi
L124,DEBTCONSOLIDATION,12588905,Tinggi
L018,DEBTCONSOLIDATION,12588905,Tinggi
L058,DEBTCONSOLIDATION,12588905,Tinggi
L010,DEBTCONSOLIDATION,12588905,Tinggi
L131,DEBTCONSOLIDATION,12588905,Tinggi
L089,DEBTCONSOLIDATION,12588905,Tinggi
L108,DEBTCONSOLIDATION,12588905,Tinggi
L015,DEBTCONSOLIDATION,12588905,Tinggi
L027,DEBTCONSOLIDATION,12588905,Tinggi
L140,DEBTCONSOLIDATION,12588905,Tinggi
L134,DEBTCONSOLIDATION,12588905,Tinggi
L114,DEBTCONSOLIDATION,12588905,Tinggi
L113,DEBTCONSOLIDATION,12588905,Tinggi
L008,DEBTCONSOLIDATION,12588905,Tinggi
L048,DEBTCONSOLIDATION,12588905,Tinggi
L065,DEBTCONSOLIDATION,12588905,Tinggi
